row_id,original_log,datetime,user_id,transaction_type,amount,currency,location,device
33,user1068 2025-06-19 05:02:27 deposit 3599.05 Cardiff Pixel 6,2025-06-19 05:02:27,user1068,deposit,3599.05,GBP,Cardiff,Pixel 6
34,user1020 2025-07-30 02:28:05 cashout 3486.34 Liverpool Samsung Galaxy S10,2025-07-30 02:28:05,user1020,cashout,3486.34,GBP,Liverpool,Samsung Galaxy S10
35,2025-06-09 04:52:32 - user=user1004 - action=purchase €2556.36 - ATM: Liverpool - device=Pixel 6,2025-06-09 04:52:32,user1004,purchase,2556.36,EUR,Liverpool,Pixel 6
36,2025-06-06 23:20:13 >> [user1029] did top-up - amt=£467.84 - Cardiff // dev:Samsung Galaxy S10,2025-06-06 23:20:13,user1029,top_up,467.84,GBP,Cardiff,Samsung Galaxy S10
37,user1020 2025-07-28 17:58:48 withdrawal 232.02 Manchester Xiaomi Mi 11,2025-07-28 17:58:48,user1020,withdrawal,232.02,GBP,Manchester,Xiaomi Mi 11
38,2025-06-22 11:35:36 >> [user1067] did purchase - amt=$3592.01 - None // dev:Xiaomi Mi 11,2025-06-22 11:35:36,user1067,purchase,3592.01,USD,Unknown,Xiaomi Mi 11
39,13/06/2025 09:48:03 ::: user1020 *** WITHDRAWAL ::: amt:4463.41£ @ Leeds <Samsung Galaxy S10>,2025-06-13 09:48:03,user1020,withdrawal,4463.41,GBP,Leeds,Samsung Galaxy S10
40,29/06/2025 10:46:54 ::: user1020 *** DEBIT ::: amt:252.04£ @ Manchester <Xiaomi Mi 11>,2025-06-29 10:46:54,user1020,debit,252.04,GBP,Manchester,Xiaomi Mi 11
41,2025-07-17 19:56:26 >> [user1040] did transfer - amt=$3718.53 - None // dev:Huawei P30,2025-07-17 19:56:26,user1040,transfer,3718.53,USD,Unknown,Huawei P30
42,2025-06-14 11:55:14 >> [user1070] did refund - amt=€3829.3 - None // dev:Pixel 6,2025-06-14 11:55:14,user1070,refund,3829.3,EUR,Unknown,Pixel 6
43,2025-06-10 09:06:24::user1005::debit::388.34::Glasgow::Huawei P30,2025-06-10 09:06:24,user1005,debit,388.34,GBP,Glasgow,Huawei P30
44,09/06/2025 15:02:04 ::: user1081 *** DEPOSIT ::: amt:692.73£ @ Leeds <Pixel 6>,2025-06-09 15:02:04,user1081,deposit,692.73,GBP,Leeds,Pixel 6
45,2025-07-21 17:14:37 | user: user1028 | txn: withdrawal of $1034.97 from Leeds | device: Nokia 3310,2025-07-21 17:14:37,user1028,withdrawal,1034.97,USD,Leeds,Nokia 3310
46,user1019 2025-06-16 11:31:33 cashout 2385.42 Cardiff Nokia 3310,2025-06-16 11:31:33,user1019,cashout,2385.42,GBP,Cardiff,Nokia 3310
47,2025-07-19 10:03:15 | user: user1087 | txn: purchase of $2441.66 from Leeds | device: Xiaomi Mi 11,2025-07-19 10:03:15,user1087,purchase,2441.66,USD,Leeds,Xiaomi Mi 11
48,user1057 2025-06-02 23:51:41 withdrawal 4534.74 London iPhone 13,2025-06-02 23:51:41,user1057,withdrawal,4534.74,GBP,London,iPhone 13
49,2025-07-27 07:41:21 >> [user1035] did debit - amt=$909.46 - Leeds // dev:Huawei P30,2025-07-27 07:41:21,user1035,debit,909.46,USD,Leeds,Huawei P30
50,user1034 2025-06-23 08:15:41 top-up 1688.17 Cardiff Nokia 3310,2025-06-23 08:15:41,user1034,top-up,1688.17,GBP,Cardiff,Nokia 3310
51,2025-06-15 06:31:04 >> [user1079] did deposit - amt=€2352.06 - London // dev:Huawei P30,2025-06-15 06:31:04,user1079,deposit,2352.06,EUR,London,Huawei P30
52,2025-07-28 20:56:17 | user: user1092 | txn: deposit of €3906.38 from London | device: Nokia 3310,2025-07-28 20:56:17,user1092,deposit,3906.38,EUR,London,Nokia 3310
53,03/07/2025 08:35:22 ::: user1080 *** PURCHASE ::: amt:4196.31€ @ Liverpool <Samsung Galaxy S10>,2025-07-03 08:35:22,user1080,purchase,4196.31,EUR,Liverpool,Samsung Galaxy S10
54,usr:user1040|deposit|£2820.28|None|2025-07-28 01:03:02|Pixel 6,2025-07-28 01:03:02,user1040,deposit,2820.28,GBP,Unknown,Pixel 6
55,15/07/2025 14:46:08 ::: user1047 *** TOP-UP ::: amt:839.78€ @ Manchester <Nokia 3310>,2025-07-15 14:46:08,user1047,top-up,839.78,EUR,Manchester,Nokia 3310
56,2025-06-14 12:27:03 >> [user1035] did deposit - amt=$2893.84 - Leeds // dev:Xiaomi Mi 11,2025-06-14 12:27:03,user1035,deposit,2893.84,USD,Leeds,Xiaomi Mi 11
57,2025-06-21 18:04:39 | user: user1027 | txn: purchase of $510.4 from Manchester | device: Nokia 3310,2025-06-21 18:04:39,user1027,purchase,510.4,USD,Manchester,Nokia 3310
58,user1034 2025-07-21 10:27:07 cashout 3307.95 Birmingham iPhone 13,2025-07-21 10:27:07,user1034,cashout,3307.95,GBP,Birmingham,iPhone 13
59,25/07/2025 20:53:01 ::: user1050 *** DEPOSIT ::: amt:2168.18$ @ None <Pixel 6>,2025-07-25 20:53:01,user1050,deposit,2168.18,USD,Unknown,Pixel 6
60,2025-06-02 11:09:34 >> [user1020] did debit - amt=€2324.9 - Cardiff // dev:Huawei P30,2025-06-02 11:09:34,user1020,debit,2324.9,EUR,Cardiff,Huawei P30
61,user1077 2025-07-20 01:34:56 refund 4408.27 None None,2025-07-20 01:34:56,user1077,refund,4408.27,GBP,Unknown,Unknown
62,2025-06-16 04:22:52 >> [user1026] did withdrawal - amt=$2472.04 - Liverpool // dev:Xiaomi Mi 11,2025-06-16 04:22:52,user1026,withdrawal,2472.04,USD,Liverpool,Xiaomi Mi 11
63,2025-07-21 12:27:25 | user: user1087 | txn: refund of €1702.35 from Cardiff | device: None,2025-07-21 12:27:25,user1087,refund,1702.35,EUR,Cardiff,Unknown
64,2025-06-19 19:01:52 | user: user1025 | txn: purchase of €3453.36 from None | device: Xiaomi Mi 11,2025-06-19 19:01:52,user1025,purchase,3453.36,EUR,Unknown,Xiaomi Mi 11
65,2025-06-01 15:06:05::user1003::refund::1108.76::Glasgow::Huawei P30,2025-06-01 15:06:05,user1003,refund,1108.76,GBP,Glasgow,Huawei P30
66,2025-07-02 20:47:24 - user=user1008 - action=refund £1257.77 - ATM: Glasgow - device=Huawei P30,2025-07-02 20:47:24,user1008,refund,1257.77,GBP,Glasgow,Huawei P30
67,2025-07-27 15:51:02::user1020::refund::4902.57::Cardiff::Samsung Galaxy S10,2025-07-27 15:51:02,user1020,refund,4902.57,GBP,Cardiff,Samsung Galaxy S10
68,2025-06-14 02:56:06 | user: user1043 | txn: refund of €71.73 from Liverpool | device: Huawei P30,2025-06-14 02:56:06,user1043,refund,71.73,EUR,Liverpool,Huawei P30
69,2025-06-13 01:12:45 | user: user1011 | txn: refund of £3487.39 from None | device: iPhone 13,2025-06-13 01:12:45,user1011,refund,3487.39,GBP,Unknown,iPhone 13
70,2025-06-12 22:14:14 | user: user1011 | txn: refund of $2347.52 from Birmingham | device: Samsung Galaxy S10,2025-06-12 22:14:14,user1011,refund,2347.52,USD,Birmingham,Samsung Galaxy S10
71,2025-06-05 23:34:40 - user=user1079 - action=debit £571.32 - ATM: Leeds - device=Xiaomi Mi 11,2025-06-05 23:34:40,user1079,debit,571.32,GBP,Leeds,Xiaomi Mi 11
72,2025-07-03 21:57:11 >> [user1096] did withdrawal - amt=€759.48 - Cardiff // dev:iPhone 13,2025-07-03 21:57:11,user1096,withdrawal,759.48,EUR,Cardiff,iPhone 13
73,2025-07-02 08:20:16 | user: user1093 | txn: debit of $4542.61 from Leeds | device: Huawei P30,2025-07-02 08:20:16,user1093,debit,4542.61,USD,Leeds,Huawei P30
74,2025-06-27 01:59:00 - user=user1008 - action=deposit £4738.0 - ATM: Glasgow - device=Huawei P30,2025-06-27 01:59:00,user1008,deposit,4738.0,GBP,Glasgow,Huawei P30
75,user1043 2025-07-12 08:29:59 purchase 869.89 Liverpool iPhone 13,2025-07-12 08:29:59,user1043,purchase,869.89,GBP,Liverpool,iPhone 13
76,usr:user1051|debit|£1457.01|Cardiff|2025-06-13 14:42:29|Pixel 6,2025-06-13 14:42:29,user1051,debit,1457.01,GBP,Cardiff,Pixel 6
77,2025-07-06 22:31:14 >> [user1058] did debit - amt=£356.83 - Cardiff // dev:Nokia 3310,2025-07-06 22:31:14,user1058,debit,356.83,GBP,Cardiff,Nokia 3310
78,12/07/2025 10:44:50 ::: user1041 *** DEPOSIT ::: amt:2723.27€ @ Liverpool <Huawei P30>,2025-07-12 10:44:50,user1041,deposit,2723.27,EUR,Liverpool,Huawei P30
79,2025-06-28 22:20:18 - user=user1011 - action=withdrawal $830.45 - ATM: Cardiff - device=Xiaomi Mi 11,2025-06-28 22:20:18,user1011,withdrawal,830.45,USD,Cardiff,Xiaomi Mi 11
80,2025-07-03 20:35:13 - user=user1072 - action=refund $3498.97 - ATM: None - device=Xiaomi Mi 11,2025-07-03 20:35:13,user1072,refund,3498.97,USD,Unknown,Xiaomi Mi 11
81,usr:user1087|withdrawal|€4447.23|Birmingham|2025-07-10 09:46:29|None,2025-07-10 09:46:29,user1087,withdrawal,4447.23,EUR,Birmingham,Unknown
82,usr:user1028|deposit|€1145.39|London|2025-06-08 02:44:07|Nokia 3310,2025-06-08 02:44:07,user1028,deposit,1145.39,EUR,London,Nokia 3310
83,30/06/2025 15:12:58 ::: user1089 *** CASHOUT ::: amt:1667.21€ @ Manchester <Nokia 3310>,2025-06-30 15:12:58,user1089,cashout,1667.21,EUR,Manchester,Nokia 3310
84,user1013 2025-06-22 11:53:23 debit 441.21 Birmingham iPhone 13,2025-06-22 11:53:23,user1013,debit,441.21,GBP,Birmingham,iPhone 13
85,2025-06-22 13:29:45 | user: user1031 | txn: withdrawal of €3288.64 from None | device: Xiaomi Mi 11,2025-06-22 13:29:45,user1031,withdrawal,3288.64,EUR,Unknown,Xiaomi Mi 11
86,2025-06-28 13:15:51 | user: user1048 | txn: top-up of $3113.55 from None | device: Nokia 3310,2025-06-28 13:15:51,user1048,top-up,3113.55,USD,Unknown,Nokia 3310
87,14/07/2025 07:25:41 ::: user1028 *** WITHDRAWAL ::: amt:4865.76€ @ Glasgow <Pixel 6>,2025-07-14 07:25:41,user1028,withdrawal,4865.76,EUR,Glasgow,Pixel 6
88,2025-07-06 17:06:51 - user=user1035 - action=withdrawal £2761.7 - ATM: Glasgow - device=Nokia 3310,2025-07-06 17:06:51,user1035,withdrawal,2761.7,GBP,Glasgow,Nokia 3310
89,usr:user1027|deposit|£3238.9|None|2025-07-11 13:23:12|Pixel 6,2025-07-11 13:23:12,user1027,deposit,3238.9,GBP,Unknown,Pixel 6
90,2025-06-02 15:59:28 - user=user1046 - action=transfer €1918.55 - ATM: Liverpool - device=Nokia 3310,2025-06-02 15:59:28,user1046,transfer,1918.55,EUR,Liverpool,Nokia 3310
91,2025-07-27 20:16:34 | user: user1005 | txn: cashout of €1700.04 from Cardiff | device: Nokia 3310,2025-07-27 20:16:34,user1005,cashout,1700.04,EUR,Cardiff,Nokia 3310
92,05/06/2025 12:32:35 ::: user1029 *** REFUND ::: amt:4187.54€ @ None <Nokia 3310>,2025-06-05 12:32:35,user1029,refund,4187.54,EUR,Unknown,Nokia 3310
93,2025-07-05 01:37:09::user1040::debit::1726.27::Leeds::Xiaomi Mi 11,2025-07-05 01:37:09,user1040,debit,1726.27,GBP,Leeds,Xiaomi Mi 11
94,2025-06-02 08:27:39::user1048::purchase::2859.42::Leeds::iPhone 13,2025-06-02 08:27:39,user1048,purchase,2859.42,GBP,Leeds,iPhone 13
95,14/07/2025 04:24:04 ::: user1038 *** DEBIT ::: amt:3526.43$ @ Leeds <Pixel 6>,2025-07-14 04:24:04,user1038,debit,3526.43,USD,Leeds,Pixel 6
96,2025-07-10 16:01:13 - user=user1082 - action=withdrawal €632.11 - ATM: Birmingham - device=Nokia 3310,2025-07-10 16:01:13,user1082,withdrawal,632.11,EUR,Birmingham,Nokia 3310
97,29/06/2025 04:19:16 ::: user1029 *** DEPOSIT ::: amt:2630.23$ @ London <Pixel 6>,2025-06-29 04:19:16,user1029,deposit,2630.23,USD,London,Pixel 6
98,user1088 2025-07-20 22:06:28 transfer 375.07 Birmingham None,2025-07-20 22:06:28,user1088,transfer,375.07,GBP,Birmingham,Unknown
99,2025-07-20 18:01:06 - user=user1054 - action=withdrawal £3087.68 - ATM: Cardiff - device=Samsung Galaxy S10,2025-07-20 18:01:06,user1054,withdrawal,3087.68,GBP,Cardiff,Samsung Galaxy S10
100,13/07/2025 06:07:32 ::: user1007 *** DEPOSIT ::: amt:3802.09€ @ Manchester <Xiaomi Mi 11>,2025-07-13 06:07:32,user1007,deposit,3802.09,EUR,Manchester,Xiaomi Mi 11
101,2025-07-22 07:02:09 | user: user1055 | txn: refund of £4517.22 from Birmingham | device: Nokia 3310,2025-07-22 07:02:09,user1055,refund,4517.22,GBP,Birmingham,Nokia 3310
102,user1010 2025-06-14 17:47:12 top-up 1874.83 Glasgow None,2025-06-14 17:47:12,user1010,top-up,1874.83,GBP,Glasgow,Unknown
103,2025-06-26 08:30:06 >> [user1065] did transfer - amt=£850.75 - Leeds // dev:None,2025-06-26 08:30:06,user1065,transfer,850.75,GBP,Leeds,Unknown
104,usr:user1058|transfer|€1161.71|Cardiff|2025-07-02 04:31:41|Xiaomi Mi 11,2025-07-02 04:31:41,user1058,transfer,1161.71,EUR,Cardiff,Xiaomi Mi 11
105,user1043 2025-07-24 23:20:22 deposit 2209.21 Cardiff Pixel 6,2025-07-24 23:20:22,user1043,deposit,2209.21,GBP,Cardiff,Pixel 6
106,usr:user1083|purchase|$1907.44|Cardiff|2025-06-11 15:14:24|Pixel 6,2025-06-11 15:14:24,user1083,purchase,1907.44,USD,Cardiff,Pixel 6
107,2025-07-22 14:06:57 >> [user1098] did purchase - amt=$3035.72 - Glasgow // dev:Pixel 6,2025-07-22 14:06:57,user1098,purchase,3035.72,USD,Glasgow,Pixel 6
108,2025-07-21 11:03:55 - user=user1048 - action=refund €3389.14 - ATM: Liverpool - device=Pixel 6,2025-07-21 11:03:55,user1048,refund,3389.14,EUR,Liverpool,Pixel 6
109,2025-07-16 11:09:32::user1059::withdrawal::1545.36::London::None,2025-07-16 11:09:32,user1059,withdrawal,1545.36,GBP,London,Unknown
110,user1064 2025-06-01 19:00:00 transfer 451.58 Birmingham Pixel 6,2025-06-01 19:00:00,user1064,transfer,451.58,GBP,Birmingham,Pixel 6
111,2025-07-11 07:02:48::user1008::transfer::1285.59::Cardiff::Pixel 6,2025-07-11 07:02:48,user1008,transfer,1285.59,GBP,Cardiff,Pixel 6
112,user1069 2025-07-11 02:37:15 debit 4814.5 Glasgow Nokia 3310,2025-07-11 02:37:15,user1069,debit,4814.5,GBP,Glasgow,Nokia 3310
113,user1028 2025-07-11 05:36:37 debit 1843.56 Cardiff None,2025-07-11 05:36:37,user1028,debit,1843.56,GBP,Cardiff,Unknown
114,usr:user1020|purchase|€3238.61|None|2025-07-17 08:46:01|Pixel 6,2025-07-17 08:46:01,user1020,purchase,3238.61,EUR,Unknown,Pixel 6
115,2025-06-01 23:12:15 - user=user1081 - action=cashout €2937.11 - ATM: Liverpool - device=Xiaomi Mi 11,2025-06-01 23:12:15,user1081,cashout,2937.11,EUR,Liverpool,Xiaomi Mi 11
116,2025-07-23 21:34:21::user1050::cashout::4695.33::London::Pixel 6,2025-07-23 21:34:21,user1050,cashout,4695.33,GBP,London,Pixel 6
117,2025-06-06 03:51:35::user1093::debit::2224.03::Birmingham::iPhone 13,2025-06-06 03:51:35,user1093,debit,2224.03,GBP,Birmingham,iPhone 13
118,2025-06-27 10:35:42::user1003::purchase::3208.88::London::iPhone 13,2025-06-27 10:35:42,user1003,purchase,3208.88,GBP,London,iPhone 13
119,15/06/2025 21:30:12 ::: user1033 *** PURCHASE ::: amt:4065.45£ @ Birmingham <Nokia 3310>,2025-06-15 21:30:12,user1033,purchase,4065.45,GBP,Birmingham,Nokia 3310
120,usr:user1020|withdrawal|£1387.1|Liverpool|2025-07-07 22:10:59|None,2025-07-07 22:10:59,user1020,withdrawal,1387.1,GBP,Liverpool,Unknown
121,2025-06-24 03:01:06::user1097::deposit::3305.63::Liverpool::iPhone 13,2025-06-24 03:01:06,user1097,deposit,3305.63,GBP,Liverpool,iPhone 13
122,user1010 2025-07-16 14:14:11 top-up 79.89 London Samsung Galaxy S10,2025-07-16 14:14:11,user1010,top-up,79.89,GBP,London,Samsung Galaxy S10
123,2025-07-12 21:06:52::user1068::deposit::3728.58::None::Nokia 3310,2025-07-12 21:06:52,user1068,deposit,3728.58,GBP,Unknown,Nokia 3310
124,user1012 2025-07-30 14:35:19 debit 3217.06 London Xiaomi Mi 11,2025-07-30 14:35:19,user1012,debit,3217.06,GBP,London,Xiaomi Mi 11
125,2025-06-07 00:53:15::user1098::deposit::2451.85::Manchester::iPhone 13,2025-06-07 00:53:15,user1098,deposit,2451.85,GBP,Manchester,iPhone 13
126,2025-06-17 12:08:53 - user=user1010 - action=debit $2528.25 - ATM: Manchester - device=Nokia 3310,2025-06-17 12:08:53,user1010,debit,2528.25,USD,Manchester,Nokia 3310
127,usr:user1034|cashout|$3648.33|Leeds|2025-06-04 09:30:01|Huawei P30,2025-06-04 09:30:01,user1034,cashout,3648.33,USD,Leeds,Huawei P30
128,2025-06-24 11:36:21 - user=user1021 - action=transfer $3434.42 - ATM: Manchester - device=iPhone 13,2025-06-24 11:36:21,user1021,transfer,3434.42,USD,Manchester,iPhone 13
129,03/07/2025 13:33:45 ::: user1003 *** CASHOUT ::: amt:483.73€ @ Birmingham <Nokia 3310>,2025-07-03 13:33:45,user1003,cashout,483.73,EUR,Birmingham,Nokia 3310
130,2025-06-03 01:59:17 - user=user1028 - action=withdrawal €2932.74 - ATM: Birmingham - device=Pixel 6,2025-06-03 01:59:17,user1028,withdrawal,2932.74,EUR,Birmingham,Pixel 6
131,usr:user1071|top-up|$4368.16|London|2025-06-23 04:21:57|Huawei P30,2025-06-23 04:21:57,user1071,top-up,4368.16,USD,London,Huawei P30
132,usr:user1068|deposit|€1751.22|Birmingham|2025-06-04 23:46:12|iPhone 13,2025-06-04 23:46:12,user1068,deposit,1751.22,EUR,Birmingham,iPhone 13
133,usr:user1011|purchase|€4036.3|London|2025-07-31 09:23:03|None,2025-07-31 09:23:03,user1011,purchase,4036.3,EUR,London,Unknown
134,2025-06-02 01:01:20 | user: user1017 | txn: transfer of $1367.08 from Birmingham | device: Huawei P30,2025-06-02 01:01:20,user1017,transfer,1367.08,USD,Birmingham,Huawei P30
135,2025-06-25 15:47:34 | user: user1013 | txn: transfer of $2832.04 from Manchester | device: Samsung Galaxy S10,2025-06-25 15:47:34,user1013,transfer,2832.04,USD,Manchester,Samsung Galaxy S10
136,2025-07-22 05:52:30::user1003::purchase::1881.6::Birmingham::Samsung Galaxy S10,2025-07-22 05:52:30,user1003,purchase,1881.6,GBP,Birmingham,Samsung Galaxy S10
137,03/07/2025 02:28:15 ::: user1035 *** TOP-UP ::: amt:3884.4€ @ Manchester <iPhone 13>,2025-07-03 02:28:15,user1035,top-up,3884.4,EUR,Manchester,iPhone 13
138,user1043 2025-07-20 04:44:32 withdrawal 3370.17 None Pixel 6,2025-07-20 04:44:32,user1043,withdrawal,3370.17,GBP,Unknown,Pixel 6
139,user1063 2025-06-21 09:54:20 debit 2071.5 Manchester Huawei P30,2025-06-21 09:54:20,user1063,debit,2071.5,GBP,Manchester,Huawei P30
140,usr:user1089|refund|€3391.41|None|2025-06-24 05:02:13|None,2025-06-24 05:02:13,user1089,refund,3391.41,EUR,Unknown,Unknown
141,2025-07-15 11:53:06 >> [user1094] did purchase - amt=€1976.92 - London // dev:iPhone 13,2025-07-15 11:53:06,user1094,purchase,1976.92,EUR,London,iPhone 13
142,2025-07-21 02:07:20 - user=user1012 - action=purchase $3836.98 - ATM: Cardiff - device=Huawei P30,2025-07-21 02:07:20,user1012,purchase,3836.98,USD,Cardiff,Huawei P30
143,user1000 2025-07-19 14:37:54 purchase 2501.81 Birmingham iPhone 13,2025-07-19 14:37:54,user1000,purchase,2501.81,GBP,Birmingham,iPhone 13
144,2025-07-17 19:27:25::user1080::withdrawal::2181.66::Manchester::Nokia 3310,2025-07-17 19:27:25,user1080,withdrawal,2181.66,GBP,Manchester,Nokia 3310
145,2025-07-29 02:25:24 - user=user1096 - action=cashout €2867.43 - ATM: Leeds - device=Huawei P30,2025-07-29 02:25:24,user1096,cashout,2867.43,EUR,Leeds,Huawei P30
146,2025-06-14 19:11:39::user1081::withdrawal::4831.03::None::Nokia 3310,2025-06-14 19:11:39,user1081,withdrawal,4831.03,GBP,Unknown,Nokia 3310
147,user1077 2025-07-18 13:32:48 cashout 4222.58 Leeds None,2025-07-18 13:32:48,user1077,cashout,4222.58,GBP,Leeds,Unknown
148,2025-07-13 17:46:27::user1068::deposit::1979.44::Birmingham::Samsung Galaxy S10,2025-07-13 17:46:27,user1068,deposit,1979.44,GBP,Birmingham,Samsung Galaxy S10
149,2025-07-31 00:04:13 - user=user1012 - action=top-up €1756.15 - ATM: Liverpool - device=Samsung Galaxy S10,2025-07-31 00:04:13,user1012,top-up,1756.15,EUR,Liverpool,Samsung Galaxy S10
150,2025-07-07 02:47:26 - user=user1020 - action=refund €987.16 - ATM: Liverpool - device=Nokia 3310,2025-07-07 02:47:26,user1020,refund,987.16,EUR,Liverpool,Nokia 3310
151,2025-06-22 17:58:58::user1043::debit::2320.3::None::Pixel 6,2025-06-22 17:58:58,user1043,debit,2320.3,GBP,Unknown,Pixel 6
152,usr:user1059|top-up|£755.64|None|2025-07-05 19:05:18|Xiaomi Mi 11,2025-07-05 19:05:18,user1059,top-up,755.64,GBP,Unknown,Xiaomi Mi 11
